116,101
218,161
261,172
165,163
250,238
139,88
172,131
111,56
155,111
111,56
276,251
208,150
217,177
231,171
279,241
199,143
218,163
146,86
181,136
208,203
183,176
103,55
278,241
190,154
236,176
216,151
79,36
138,117
199,120
136,96
250,229
264,228
230,163
180,157
78,55
117,59
144,101
277,240
82,34
136,109
208,183
57,12
189,148
147,109
234,189
179,121
159,106
100,72
212,157
161,120
194,115
104,53
306,257
239,217
220,165
54,12
117,51
220,157
260,232
237,186
130,102
114,57
244,217
311,288
169,158
194,144
111,82
277,227
156,107
213,184
216,191
228,167
229,162
144,74
238,194
279,216
134,93
155,111
205,188
212,145
135,96
212,164
162,117
207,179
142,132
209,190
226,240
170,139
151,110
200,188
287,213
178,118
224,216
119,77
262,200
181,138
154,112
94,54
111,96
101,53
