151,74
228,138
196,107
126,75
47,7
67,16
259,140
217,127
266,186
109,39
241,141
169,108
267,162
223,134
257,163
239,128
62,18
197,127
226,171
164,78
263,135
177,116
194,107
200,126
284,169
229,152
244,141
234,152
130,66
259,170
149,96
197,118
240,149
139,87
128,57
201,99
184,107
212,110
126,58
172,142
53,11
227,152
150,67
250,155
271,175
289,186
179,82
176,98
278,196
260,144
64,24
177,95
256,147
243,144
174,109
184,91
287,169
177,81
217,135
299,184
133,51
288,169
90,41
233,115
102,43
292,215
229,142
168,93
285,176
40,3
73,27
235,134
281,191
114,46
202,128
248,164
272,183
234,122
183,106
269,169
118,47
233,144
102,45
267,183
276,153
164,97
256,172
123,64
198,99
249,162
185,105
94,33
308,197
226,133
130,83
291,218
244,160
228,132
281,204
206,113
